Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rtz,Rdp,Rdrs,Rdrs/yr,Rpm,Rdp_1,Rgood,Rair,Rrange,Rthrow,RF/9,RF/G,Season
36,Aledmys Díaz\diazal02,26,STL,NL,68,66,62,589,234,81,147,6,41,0.974,-5,-10,-4,-1,-6,-12,-5,-1,0,0,0,-5,3.48,3.35,2017
37,Wilmer Difo\difowi01,25,WSN,NL,57,52,51,473.1,247,76,165,6,24,0.976,5,14,6,-1,10,25,10,0,0,2,3,5,4.58,4.23,2017
38,Josh Donaldson\donaljo02,31,TOR,AL,4,2,0,18,6,4,2,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,3,1.5,2017
39,Stephen Drew\drewst01,34,WSN,NL,13,11,7,91.2,37,11,25,1,2,0.973,-2,-25,-1,-1,-1,-13,0,-1,0,0,-1,0,3.53,2.77,2017
40,Alcides Escobar\escobal02,30,KCR,AL,162,162,150,1404.1,685,202,468,15,97,0.978,-6,-5,-5,-1,-11,-9,-11,-1,1,-3,-23,14,4.29,4.14,2017
41,Eduardo Escobar\escobed01,28,MIN,AL,16,12,10,104,45,14,31,0,12,1,-1,-10,-1,0,-2,-23,-2,0,0,-1,0,-1,3.89,2.81,2017
42,Danny Espinosa\espinda01,30,TOT,MLB,4,1,1,14,7,0,6,1,0,0.857,0,26,0,0,-1,-85,-1,0,0,0,1,-1,3.86,1.5,2017
43,Danny Espinosa\espinda01,30,SEA,AL,2,1,1,10,5,0,4,1,0,0.8,0,12,0,0,-1,-120,-1,0,0,0,1,-1,3.6,2,2017
44,Danny Espinosa\espinda01,30,TBR,AL,2,0,0,4,2,0,2,0,0,1,0,60,0,NA,0,0,0,0,0,0,0,0,4.5,1,2017
45,Taylor Featherston\feathta01,27,TBR,AL,3,1,0,10,2,1,1,0,0,1,-1,-72,-1,0,0,0,0,0,0,0,0,0,1.8,0.67,2017
46,Ryan Flaherty\flahery01,30,BAL,AL,5,3,3,29,12,7,5,0,0,1,0,-4,0,0,0,0,0,0,0,0,0,0,3.72,2.4,2017
47,Pedro Florimon\floripe01,30,PHI,NL,2,1,1,13,6,1,5,0,0,1,0,-9,0,NA,0,0,0,0,0,0,1,0,4.15,3,2017
48,Logan Forsythe\forsylo01,30,LAD,NL,2,1,0,2.1,1,0,1,0,0,1,0,103,0,NA,0,0,0,0,0,0,0,0,3.86,0.5,2017
49,Nick Franklin\frankni01,26,MIL,NL,1,0,0,1,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,NA,NA,NA,NA,0,0,2017
50,Adam Frazier\fraziad01,25,PIT,NL,1,1,0,7,5,2,2,1,0,0.8,0,-51,0,0,-1,-171,-1,0,0,0,-1,0,5.14,4,2017
51,Mike Freeman\freemmi01,29,CHC,NL,10,4,3,54.2,32,10,20,2,4,0.938,-1,-22,-1,0,1,22,1,0,0,0,1,0,4.94,3,2017
52,Freddy Galvis\galvifr01,27,PHI,NL,155,155,149,1359.1,637,226,404,7,94,0.989,-3,-3,-3,0,5,4,5,0,0,0,3,2,4.17,4.06,2017
53,Greg Garcia\garcigr01,27,STL,NL,12,8,7,79,31,9,21,1,7,0.968,-2,-29,-2,0,0,0,-1,0,1,0,-1,0,3.42,2.5,2017
54,Leury Garcia\garcile02,26,CHW,AL,2,2,2,19,7,1,5,1,1,0.857,0,0,0,0,0,0,0,0,0,0,0,0,2.84,3,2017
55,Ryan Goins\goinsry01,29,TOR,AL,87,75,67,670.1,320,104,212,4,49,0.988,-1,-2,-2,1,0,0,-2,0,2,-1,-1,-1,4.24,3.63,2017
56,Erik Gonzalez\gonzaer01,25,CLE,AL,11,3,3,41.2,16,3,11,2,4,0.875,0,9,0,0,0,0,0,0,0,0,0,0,3.02,1.27,2017
57,Marwin Gonzalez\gonzama01,28,HOU,AL,38,33,26,281.1,129,39,88,2,23,0.984,2,10,2,0,-4,-17,-4,0,0,0,-3,-1,4.06,3.34,2017
58,Phil Gosselin\gosseph01,28,TEX,AL,3,0,0,7,4,0,4,0,0,1,0,69,0,NA,0,0,0,0,0,-1,0,0,5.14,1.33,2017
59,Didi Gregorius\gregodi01,27,NYY,AL,135,132,119,1174.2,513,144,360,9,47,0.982,12,13,14,-2,8,8,11,-3,0,0,10,1,3.86,3.73,2017
60,Alen Hanson\hansoal01,24,PIT,NL,2,0,0,8,5,3,2,0,2,1,-1,-90,-1,0,0,0,0,0,0,0,0,0,5.63,2.5,2017
61,J.J. Hardy\hardyjj01,34,BAL,AL,71,70,63,612.2,291,86,200,5,48,0.983,4,9,5,-1,4,8,6,-1,-1,-2,4,4,4.2,4.03,2017
62,Adeiny Hechavarria\hechaad01,28,TOT,MLB,96,91,87,813.1,362,119,239,4,46,0.989,6,8,6,0,-6,-8,-5,0,-1,-1,0,-4,3.96,3.73,2017
63,Adeiny Hechavarria\hechaad01,28,MIA,NL,19,17,16,149.1,64,30,34,0,10,1,0,-3,0,0,0,0,0,0,0,0,2,-1,3.86,3.37,2017
64,Adeiny Hechavarria\hechaad01,28,TBR,AL,77,74,71,664,298,89,205,4,36,0.987,6,11,6,0,-6,-11,-5,0,-1,-1,-2,-3,3.98,3.82,2017
65,Cesar Hernandez\hernace02,27,PHI,NL,1,0,0,4,2,0,2,0,0,1,0,30,0,NA,1,300,1,0,0,0,1,0,4.5,2,2017
66,Enrique Hernandez\hernaen02,25,LAD,NL,24,16,10,150,74,21,50,3,5,0.959,1,11,2,-1,3,24,3,0,0,0,1,2,4.26,2.96,2017
67,Marco Hernandez\hernama02,24,BOS,AL,5,5,4,40,16,5,10,1,5,0.938,-1,-30,-1,0,1,30,1,0,0,1,1,0,3.38,3,2017
68,José Iglesias\iglesjo01,27,DET,AL,130,128,123,1116.1,538,199,332,7,83,0.987,-9,-10,-8,-1,-5,-5,-6,0,1,2,-5,-2,4.28,4.08,2017
69,Paul Janish\janispa01,34,BAL,AL,14,9,5,78,41,14,26,1,13,0.976,-3,-46,-4,1,-2,-31,-3,0,1,0,-2,-1,4.62,2.86,2017
70,Pete Kozma\kozmape01,29,TOT,MLB,14,4,3,51,19,5,13,1,6,0.947,-1,-12,-1,0,-2,-47,-2,0,0,-1,-2,-1,3.18,1.29,2017
71,Pete Kozma\kozmape01,29,NYY,AL,9,3,2,33,13,4,8,1,4,0.923,-1,-36,-1,0,-2,-73,-2,0,0,-1,-1,-1,3.27,1.33,2017
72,Pete Kozma\kozmape01,29,TEX,AL,5,1,1,18,6,1,5,0,2,1,1,33,1,0,0,0,0,0,0,0,-1,0,3,1.2,2017
73,Tzu-Wei Lin\lintz02,23,BOS,AL,6,6,5,55,18,2,16,0,2,1,0,-2,0,0,-2,-44,-2,0,0,0,-1,-1,2.95,3,2017
74,Francisco Lindor\lindofr01,23,CLE,AL,158,158,146,1377,611,210,391,10,111,0.984,10,8,8,2,7,6,4,3,0,1,0,3,3.93,3.8,2017
75,Dixon Machado\machadi01,25,DET,AL,32,25,25,230,108,51,55,2,11,0.981,-8,-40,-7,-1,-5,-26,-3,-2,0,0,-2,-1,4.15,3.31,2017
76,Deven Marrero\marrede01,26,BOS,AL,6,4,4,44,13,4,9,0,2,1,-1,-14,-1,0,0,0,0,0,0,0,0,0,2.66,2.17,2017
77,Ketel Marte\marteke01,23,ARI,NL,64,57,53,507.2,243,68,166,9,43,0.963,3,6,2,1,7,17,8,0,-1,1,5,2,4.15,3.66,2017
78,Michael Martinez\martimi02,34,CLE,AL,1,0,0,2,1,0,1,0,0,1,0,180,0,0,0,0,0,0,0,NA,0,0,4.5,1,2017
79,Alex Mejia\mejiaal01,26,STL,NL,7,3,3,35,18,6,12,0,6,1,0,-10,0,0,0,0,-1,0,1,0,-1,0,4.63,2.57,2017
80,Jordy Mercer\mercejo03,30,PIT,NL,144,143,132,1241.2,545,176,359,10,88,0.982,-2,-2,-3,1,-12,-12,-14,1,1,-1,-18,5,3.88,3.72,2017
81,Adalberto Mondesi\mondera02,21,KCR,AL,9,0,0,25.1,17,7,9,1,1,0.941,-2,-109,-1,-1,-3,-142,-1,-1,-1,0,0,-1,5.68,1.78,2017
82,Colin Moran\moranco01,24,HOU,AL,1,0,0,4,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,-1,4.5,2,2017
83,Max Moroff\morofma01,24,PIT,NL,16,10,10,108,55,13,42,0,4,1,1,7,2,-1,2,22,2,0,0,0,4,-2,4.58,3.44,2017
84,Taylor Motter\motteta01,27,SEA,AL,39,31,28,287,120,42,76,2,18,0.983,-3,-10,-3,0,-4,-17,-6,1,1,0,-7,1,3.7,3.03,2017
85,Kristopher Negron\negrokr01,31,ARI,NL,5,3,3,32,18,3,14,1,5,0.944,1,26,1,0,-1,-38,-1,0,0,0,-1,0,4.78,3.4,2017
86,Gift Ngoepe\ngoepgi01,27,PIT,NL,6,2,2,26,12,6,6,0,1,1,0,-9,0,0,0,0,0,0,0,0,-1,0,4.15,2,2017
87,Eduardo Nunez\nunezed02,30,TOT,MLB,16,15,10,123,45,16,27,2,1,0.956,-3,-27,-3,0,-4,-39,-3,-1,0,-1,-2,-1,3.15,2.69,2017
88,Eduardo Nunez\nunezed02,30,SFG,NL,11,10,8,90,32,11,20,1,1,0.969,-3,-33,-3,0,-3,-40,-2,-1,0,-1,-1,-1,3.1,2.82,2017
89,Eduardo Nunez\nunezed02,30,BOS,AL,5,5,2,33,13,5,7,1,0,0.923,0,-11,0,0,-1,-36,-1,0,0,0,-1,0,3.27,2.4,2017
90,Chris Owings\owingch01,25,ARI,NL,54,51,40,433.2,194,43,140,11,18,0.943,-3,-8,-2,-1,-4,-11,-2,-1,-1,0,3,-6,3.8,3.39,2017
91,Cliff Pennington\pennicl01,33,LAA,AL,18,4,4,71,29,7,21,1,5,0.966,1,22,1,0,1,17,1,0,0,0,1,1,3.55,1.56,2017
92,Jose Peraza\perazjo01,23,CIN,NL,55,48,45,422.1,177,47,125,5,19,0.972,-8,-24,-6,-2,-6,-17,-4,-1,-1,0,-2,-2,3.67,3.13,2017
93,Hernan Perez\perezhe01,26,MIL,NL,7,5,3,44.2,24,11,12,1,4,0.958,1,27,0,1,0,0,0,1,-1,0,0,0,4.63,3.29,2017
94,Jace Peterson\peterja01,27,ATL,NL,4,4,3,34,14,4,9,1,0,0.929,-2,-53,-2,0,-1,-35,-1,0,0,0,0,-1,3.44,3.25,2017
